Current Ratio,Debt-to-Equity Ratio,Revenue,Net Income,Free Cash Flow,Risk Classification
-0.0066389264934642,0.722530975793786,1.306985677567927,2.1120805302216485,-1.191339923682221,Low Risk
-0.1370511649385325,-0.2677532338604277,1.3980905929285032,1.2976715558279632,0.6318765924060765,Low Risk
-0.0223565149507117,-0.2640429227458277,-0.8497409837595603,-0.9983246934978348,-0.5731058684373151,Low Risk
-0.3694415132088928,-0.0872905917200275,-0.3350582375574072,-0.5481571229027148,-0.6615614322698565,Low Risk
-0.0836825656308758,-0.0685180908410651,0.1445864080573724,1.98091572979381,-0.4044207396559177,Low Risk
-0.3413837846675128,-0.1753335581777212,-0.903671994622761,-0.6321931123294203,-1.3488208872900085,Low Risk
0.000923337952249,-0.2656754112335024,-0.8834039343576632,-0.798061163708444,-1.1026439103871422,Low Risk
-0.2911850027447856,-0.2733528745778169,0.9785933022526464,-0.0194503546530064,0.6937916193921615,Low Risk
0.9618380522972112,-0.248967618499842,-0.8652440947399065,-1.3570829802775572,0.415793578235149,Low Risk
0.0538368836684074,-0.1442955572642458,1.3682208950521626,-0.0186851908456926,-0.8999905364727145,Low Risk
-0.2870116893893381,-0.2817246789822234,-0.89273159946444,-0.804365182951381,0.5125589155708813,Low Risk
-0.2768982862180265,-0.2578711043679811,1.3231116460682768,1.2839056186934674,1.1390279494844622,Low Risk
0.1177840154570957,-0.2696880090703346,1.394995479730112,-0.0140032781855807,1.665777696322773,Low Risk
-0.3629964175630417,-0.1846724817259724,0.3932801139380423,1.3780280069917914,0.5612113159596142,Low Risk
-0.2393972776055254,-0.1096706578232075,-0.5675778978287036,-0.5369687207974541,-0.5635728789615496,Low Risk
-0.3308845505052273,2.078767806476656,-0.3350582375574072,-0.5481571229027148,1.7197898860444092,Low Risk
-0.3522762944569425,-0.1744255318071791,-0.8575928027110169,-1.0685827245944233,-1.3889177081289024,Low Risk
-0.3413837846675128,-0.1753335581777212,-0.903671994622761,-0.6321931123294203,-1.3488208872900085,Low Risk
-0.1398110832472692,0.722530975793786,0.6813217780893395,0.6296057212769447,0.1887043065634397,Low Risk
-0.3621557891191598,-0.1900177783134482,-0.7378114556042542,-1.690779596386098,-0.3315242896339651,Low Risk
-0.026926354275737,-0.2137743288767789,-0.8393947919601477,-0.5098895997295856,-1.2799906373725556,Low Risk
3.2134231181830497,0.722530975793786,-0.0353974900276442,2.1724433953547098,-0.7725198718941358,Low Risk
-0.1953185219357465,-0.0288012720579457,0.6014915472801227,0.7601232929866424,1.51705919695985,Low Risk
-0.0465557717333529,-0.2219255817213311,-0.89273159946444,-0.804365182951381,0.410591780776501,Low Risk
-0.3413837846675128,-0.1753335581777212,-0.903671994622761,-0.6321931123294203,-1.3488208872900085,Low Risk
0.259907576636367,4.7488672697462135,-0.058692855840112,0.6664644551566576,-0.9928752433378448,Low Risk
-0.0613327243137196,-0.2743688759135438,-0.0095418787233458,0.2611488096001377,-0.7733744966576,Low Risk
-0.0905744750628547,-0.2312990346059246,-0.89273159946444,-0.804365182951381,0.7731129259399061,Low Risk
-0.2866530190391749,-0.1101419430506317,-0.8308082396740184,-1.1748611671918223,-1.1241150479978823,Low Risk
-0.2575730346253618,-0.1850808357643374,1.677973802625195,-0.6769107836367041,0.0558785995886299,Low Risk
-0.1303630261535357,-0.2740302618155527,-0.8462375657165515,-0.5228573318347656,-0.1965999885782187,Low Risk
-0.2923355457345944,-0.1928422551158835,-0.8462375657165515,-0.5228573318347656,-0.9853516681564968,Low Risk
-0.1852628808842081,0.0094677484536083,-0.2013547958578248,0.6425128684890988,1.0467773609167088,Low Risk
-0.1361300468751355,-0.2214740378418371,1.6527434970401265,2.183654749842192,-0.4473049835947174,Low Risk
-0.1949429921066161,-0.0447771129674316,1.7458571386365207,-0.4878942781265558,1.5067491983053751,Low Risk
0.4860196599581673,0.556516624393485,0.0549140596623951,-0.1582197813735943,-1.268622978433439,Low Risk
-0.1211166806640245,-0.1435645893562405,1.5117067435086498,0.5684973764163317,0.8460518761462955,Low Risk
-0.3522762944569425,-0.1744255318071791,-0.8575928027110169,-1.0685827245944233,-1.3889177081289024,Low Risk
-0.2847885795126942,-0.2628535446694899,1.400761278197581,0.1667520354291274,-0.6981766426146586,Low Risk
-0.2301665690665481,-0.1791971848415311,1.879231846061156,1.8126416750641683,-0.732661299764533,Low Risk
-0.1797291875261842,-0.2531643663892977,-0.1628966411504344,0.0799390572081169,1.3235794614002552,Low Risk
-0.2842578694419292,-0.0968026313497244,-0.8521257361072738,-0.559856352858562,1.6612400194308752,Low Risk
-0.2636349908976149,-0.2430609518887079,-0.8462375657165515,-0.5228573318347656,0.2112469203221628,Low Risk
-0.3444993128385814,-0.2214855531381869,-0.8462375657165515,-0.5228573318347656,1.3195227657212354,Low Risk
-0.3301871048401271,8.839583118749577,-0.8796577320059474,-0.7955293262718712,-0.5513745231369916,Low Risk
-0.32539313818823,-0.189627716423098,-0.8009945720682742,0.9989437184650268,1.8075846261929984,Low Risk
-0.27094150010531,-0.2751012400413594,0.6988328859835832,0.6342615706621222,1.586730623289616,High Risk
0.1433847284907004,15.72649085136626,1.069794427668872,-0.486552422925988,0.595535081115524,High Risk
1.8976278770605253,-0.181906896767766,0.9940111360034491,-0.7323995026725182,0.1461296608779721,High Risk
-0.2383091118215779,-0.1316859252197774,-0.8462375657165515,-0.5228573318347656,0.046491922369376,High Risk
-0.1407489765946856,-0.2179934898486342,1.880851531306009,0.4391009387401441,0.1577143359054654,Low Risk
-0.1582369162315412,-0.1248623569764185,1.7028959419783976,0.4586416422994186,0.816831220066085,Low Risk
-0.0523285415967511,-0.2832630439786519,-0.8652440947399065,-1.3570829802775572,1.440870051791009,Low Risk
-0.3515311673318156,0.0718442687981495,-0.6362799744778789,0.8471772083460756,-0.9309093431798536,High Risk
-0.0940740145352549,-0.1846772442163876,-0.8393947919601477,-0.5098895997295856,-1.2799906373725556,Low Risk
-0.194462181776294,-0.2623745921121511,0.8541109790452759,1.0157623843811632,0.8226515482509957,High Risk
-0.3580436202720539,-0.0500798902374187,-0.8828537073762444,-0.7529392257303487,0.0419148798203477,High Risk
-0.2165206426902635,-0.2600465569518742,-0.8268151365870618,-1.1537311420203478,-0.4604034851812608,Low Risk
-0.3381097705045476,-0.1647974479266111,-0.7489084747211195,0.9698621248313568,0.8535228526238786,High Risk
-0.3567293365319626,-0.2079927728794129,0.5881446660813267,-0.9929652103757244,0.8893696663551027,High Risk
0.1352888241055608,-0.2756840407728596,1.1737894323340212,-0.8336747879580251,1.5149650855778225,High Risk
-0.3235475138680638,-0.2711172413631206,-0.5273509139167165,0.6932118013937161,1.662414922617587,Low Risk
-0.1220607467150934,-0.272636060996192,1.0306205314633194,-0.5987718728838533,0.8784783444517963,Low Risk
-0.3413837846675128,-0.1753335581777212,-0.903671994622761,-0.6321931123294203,-1.3488208872900085,Low Risk
-0.1045161453668467,-0.2721891088029685,-0.3350582375574072,-0.5481571229027148,0.1022942916788171,High Risk
-0.1555182985755963,0.043188572797834,0.7669434294078052,-0.4060529116368881,0.8037286521918876,High Risk
0.4212756169922982,-0.2775346057221802,1.0585263823264586,-0.9209058483971572,1.4487950213365337,High Risk
-0.1509926141213743,-0.1260328580446924,1.9643612026384127,-0.8256243918030739,0.6664207099247803,High Risk
1.868546162564008,0.327227920128005,-0.728254686019531,0.1737613808084647,0.8792511034254329,Low Risk
-0.1645198506508867,-0.2006505547903732,0.3767780786820435,0.7471538040605666,0.9553470397055378,High Risk
-0.3222229652235644,-0.2498935398294919,-0.6562558788122246,-0.4879906599735341,-0.0876098932488027,High Risk
-0.1701581321253383,-0.1944167751799215,1.621007737712007,-0.9299693472114168,-1.0062110199413905,High Risk
